"","COUNTYNAME","英文土系名","中文土系名","母質種類","土壤特性","土壤形態","排水等級","石灰性","坡度","表土酸鹼性","第一層質地","第二層質地","第三層質地","第四層質地","面積","周長"
"0","南投縣","St","四座屋系","17","20","19","1","15","5","1","6","6","11","11",891.461,169.597
"1","南投縣","TCo","社腳系","20","16","1","1","15","1","3","5","11","11","11",6099.726,1046.782
"2","南投縣",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",63.891,50.018
"3","南投縣","TTy","東員寶系","20","16","1","1","15","1","4","5","5","5","11",4921.112,1241.118
"4","南投縣","TTy","東員寶系","20","16","1","1","15","1","4","5","5","5","11",3958.654,869.438
"5","南投縣","TLb","栗林村系","20","16","1","1","15","1","4","5","5","8","8",2654.062,1520.917
"6","南投縣","TCo","社腳系","20","16","1","1","15","1","3","3","11","11","11",2988.854,438.727
"7","南投縣","CTf","大埔美系","17","18","19","1","15","1","4","8","9","9","9",2102.375,1023.546
"8","南投縣","Luk","六股路系","17","18","19","1","15","4","1","6","8","11","11",6912.912,2040.789
"9","南投縣","Luk","六股路系","17","18","19","1","15","4","1","6","8","11","11",3068.293,491.2
"10","南投縣","Luk","六股路系","17","18","19","1","15","4","1","6","8","11","11",0.041,1.049
"11","南投縣","CTg","大崎腳系","17","18","19","1","15","4","5","6","11","11","11",11.653,75.658
"12","南投縣","Luk","六股路系","17","18","19","1","15","4","1","6","8","11","11",3521.611,844.984
"13","南投縣","Luk","六股路系","17","18","19","1","15","4","1","6","8","11","11",4707.201,1330.262
"14","南投縣","CTg","大崎腳系","17","18","19","1","15","4","5","6","11","11","11",738.812,371.562
"15","南投縣","CTf","大埔美系","17","18","19","1","15","1","4","8","9","9","9",763.83,435.654
"16","南投縣","CTg","大崎腳系","17","18","19","1","15","3","5","6","11","11","11",5689.953,1065.785
"17","南投縣","CTf","大埔美系","17","18","19","1","15","1","4","8","9","9","9",469.222,193.18
"18","南投縣","CTf","大埔美系","17","18","19","1","15","1","4","8","9","9","9",242.921,117.024
"19","南投縣","CCe","陳厝寮系","17","18","19","1","15","1","3","8","8","8","9",1.441,10.38
"20","南投縣","CTg","大崎腳系","17","18","19","1","15","5","5","6","11","11","11",2795.814,556.389
"21","南投縣","CTf","大埔美系","17","18","19","1","15","1","4","8","9","9","9",249.212,154.667
